# AEDC-TR-76-58 Magnus Force and Moment Data
# Source: Jenke, L.M. (1976) "Experimental Roll-Damping, Magnus, and Static-Stability
#   Characteristics of Two Slender Missile Configurations at High Angles of Attack
#   (0 to 90 deg) and Mach Numbers 0.2 Through 2.5", AEDC-TR-76-58, July 1976.
#
# Digitized from figures by visual inspection of plotted curves.
# Accuracy: approximately +/-0.5 in CYp and +/-2 in Cnp at small alpha,
#   larger uncertainty at high alpha where data is erratic.
#
# ============================================================================
# COEFFICIENT DEFINITIONS (from report nomenclature, p.110):
#   CYp = dCY/d(pd/2Vinf) = Magnus side-force derivative w.r.t. spin rate
#   Cnp = dCn/d(pd/2Vinf) = Magnus yawing-moment derivative w.r.t. spin rate
#   where p = roll rate (rad/s), d = reference diameter, Vinf = freestream velocity
#   Moments referenced to balance forward moment bridge (body station noted in Fig.2)
#   Reference area = pi*d^2/4 (cross-sectional area), Reference length = d
#
# MODEL DESCRIPTIONS:
#   Basic Finner: 10-cal cone-cylinder + 4 rectangular fins (1 cal chord, 1 cal span)
#     Cone half-angle = 10 deg, 4 fins at 90-deg spacing, zero cant
#     Body diameter d = 3.0 in (from Fig.2), total length = 10 calibers = 30 in
#   Modified Basic Finner: same body with ogive nose + 4 trapezoidal fins, zero cant
#
# KEY FINDING FOR ORP CALIBRATION:
#   At small AoA (0-5 deg), CYp is approximately 0 for the complete vehicle
#   (body+fins). The Magnus force only becomes significant at alpha > 10 deg.
#   At M=2.50 (Basic Finner), CYp ranges from ~0 at alpha=0 to ~24 at alpha=40 deg.
#   At M=0.22 (Basic Finner), CYp is erratic and oscillates between -50 and +5.
#   The signs change between subsonic and supersonic: at M=2.5 CYp is positive,
#   at M=0.22 CYp is predominantly negative.
#
#   The body Magnus contribution RELATIVE TO TOTAL CNa is NOT directly measurable
#   from this data because they measured the complete vehicle (body+fins) Magnus,
#   not body-alone vs fin-alone. However, the data provides total-vehicle CYp and
#   Cnp magnitudes for a finned missile configuration.
# ============================================================================

# ============================================================================
# TABLE 1: Basic Finner Model - CYp vs alpha
# Figure 15a: M=0.22, Re_d=1.05e5 (very erratic, large scatter)
# Figure 15b: M=2.50, Re_d=1.86e5 (smooth, well-defined)
# Figure 15c: M=2.50, Re_d=1.86e5 and 5.97e5 (Reynolds number effect)
# ============================================================================
# figure,model,Mach,Re_d_x1e-5,alpha_deg,CYp,Cnp,notes
figure,model,Mach,Re_d_x1e-5,alpha_deg,CYp,Cnp,notes
15b,Basic Finner,2.50,1.86,85,12,-30,
15b,Basic Finner,2.50,1.86,90,11,-25,

# ============================================================================
# TABLE 2: Modified Basic Finner Model - CYp and Cnp vs alpha
# Figure 17: CYp and Cnp vs alpha at multiple Mach numbers
# Re_d = 4.1e5 for supersonic, 2.6e5 for subsonic (where two Re shown)
# ============================================================================

# --- Figure 17a: Modified Basic Finner, M=0.90 ---
# NOTE: Very erratic behavior, sign changes multiple times (vortex system influence)
17a,Modified Basic Finner,0.90,2.60,-5,0,2,
17a,Modified Basic Finner,0.90,2.60,0,0,0,
17a,Modified Basic Finner,0.90,2.60,5,-1,-2,
17a,Modified Basic Finner,0.90,2.60,10,-1,-1,
17a,Modified Basic Finner,0.90,2.60,15,-3,-5,
17a,Modified Basic Finner,0.90,2.60,20,-3,-8,
17a,Modified Basic Finner,0.90,2.60,25,-7,-10,
17a,Modified Basic Finner,0.90,2.60,30,-4,0,reversal
17a,Modified Basic Finner,0.90,2.60,35,-1,25,large positive Cnp peak
17a,Modified Basic Finner,0.90,2.60,40,-2,20,
17a,Modified Basic Finner,0.90,2.60,45,-4,-5,sign change
17a,Modified Basic Finner,0.90,2.60,50,-5,-5,
17a,Modified Basic Finner,0.90,2.60,55,0,0,
17a,Modified Basic Finner,0.90,2.60,60,2,5,
17a,Modified Basic Finner,0.90,2.60,65,1,0,
17a,Modified Basic Finner,0.90,2.60,70,2,0,
17a,Modified Basic Finner,0.90,2.60,75,1,0,
17a,Modified Basic Finner,0.90,2.60,80,1,0,
17a,Modified Basic Finner,0.90,2.60,85,1,0,
17a,Modified Basic Finner,0.90,2.60,90,0,0,

# --- Figure 17b: Modified Basic Finner, M=1.15, Re_d=4.1e5 ---
17b,Modified Basic Finner,1.15,4.10,-5,0,2,
17b,Modified Basic Finner,1.15,4.10,0,0,0,
17b,Modified Basic Finner,1.15,4.10,5,0,-3,
17b,Modified Basic Finner,1.15,4.10,10,1,-5,
17b,Modified Basic Finner,1.15,4.10,15,0,-8,
17b,Modified Basic Finner,1.15,4.10,20,-1,-5,
17b,Modified Basic Finner,1.15,4.10,25,3,5,
17b,Modified Basic Finner,1.15,4.10,30,5,10,
17b,Modified Basic Finner,1.15,4.10,35,2,-8,
17b,Modified Basic Finner,1.15,4.10,40,-2,-10,
17b,Modified Basic Finner,1.15,4.10,45,-3,-5,
17b,Modified Basic Finner,1.15,4.10,50,0,0,
17b,Modified Basic Finner,1.15,4.10,55,1,-5,
17b,Modified Basic Finner,1.15,4.10,60,3,-10,
17b,Modified Basic Finner,1.15,4.10,65,3,-15,
17b,Modified Basic Finner,1.15,4.10,70,4,-20,
17b,Modified Basic Finner,1.15,4.10,75,3,-22,
17b,Modified Basic Finner,1.15,4.10,80,3,-25,
17b,Modified Basic Finner,1.15,4.10,85,3,-25,
17b,Modified Basic Finner,1.15,4.10,90,3,-25,

# --- Figure 17c: Modified Basic Finner, M=1.30, Re_d=4.1e5 ---
17c,Modified Basic Finner,1.30,4.10,-5,0,2,
17c,Modified Basic Finner,1.30,4.10,0,0,0,
17c,Modified Basic Finner,1.30,4.10,5,0,-2,
17c,Modified Basic Finner,1.30,4.10,10,1,-3,
17c,Modified Basic Finner,1.30,4.10,15,1,-5,
17c,Modified Basic Finner,1.30,4.10,20,2,-5,
17c,Modified Basic Finner,1.30,4.10,25,2,-4,
17c,Modified Basic Finner,1.30,4.10,30,3,0,
17c,Modified Basic Finner,1.30,4.10,35,3,5,
17c,Modified Basic Finner,1.30,4.10,40,1,-5,
17c,Modified Basic Finner,1.30,4.10,45,0,-8,
17c,Modified Basic Finner,1.30,4.10,50,0,-10,
17c,Modified Basic Finner,1.30,4.10,55,2,-5,
17c,Modified Basic Finner,1.30,4.10,60,3,-5,
17c,Modified Basic Finner,1.30,4.10,65,4,-8,
17c,Modified Basic Finner,1.30,4.10,70,5,-10,
17c,Modified Basic Finner,1.30,4.10,75,5,-15,
17c,Modified Basic Finner,1.30,4.10,80,6,-20,
17c,Modified Basic Finner,1.30,4.10,85,5,-22,
17c,Modified Basic Finner,1.30,4.10,90,5,-25,

# --- Figure 17d: Modified Basic Finner, M=1.50 ---
# Two Reynolds numbers shown: Re_d=2.6e5 and 4.1e5
# Higher Re data shown here (circles)
17d,Modified Basic Finner,1.50,2.60,-5,-1,2,
17d,Modified Basic Finner,1.50,2.60,0,0,0,
17d,Modified Basic Finner,1.50,2.60,5,0,-2,
17d,Modified Basic Finner,1.50,2.60,10,1,-4,
17d,Modified Basic Finner,1.50,2.60,15,1,-5,
17d,Modified Basic Finner,1.50,2.60,20,2,-5,
17d,Modified Basic Finner,1.50,2.60,25,3,-5,
17d,Modified Basic Finner,1.50,2.60,30,3,-5,
17d,Modified Basic Finner,1.50,2.60,35,3,-8,
17d,Modified Basic Finner,1.50,2.60,40,4,-12,
17d,Modified Basic Finner,1.50,2.60,45,3,-15,
17d,Modified Basic Finner,1.50,2.60,50,2,-15,
17d,Modified Basic Finner,1.50,2.60,55,1,-22,
17d,Modified Basic Finner,1.50,2.60,60,2,-22,

# --- Figure 17e: Modified Basic Finner, M=1.76, Re_d=4.1e5 ---
17e,Modified Basic Finner,1.76,4.10,-5,0,1,
17e,Modified Basic Finner,1.76,4.10,0,0,0,
17e,Modified Basic Finner,1.76,4.10,5,0,-2,
17e,Modified Basic Finner,1.76,4.10,10,1,-3,
17e,Modified Basic Finner,1.76,4.10,15,1,-5,
17e,Modified Basic Finner,1.76,4.10,20,2,-8,
17e,Modified Basic Finner,1.76,4.10,25,3,-10,
17e,Modified Basic Finner,1.76,4.10,30,3,-10,
17e,Modified Basic Finner,1.76,4.10,35,3,-8,
17e,Modified Basic Finner,1.76,4.10,40,3,-5,
17e,Modified Basic Finner,1.76,4.10,45,3,-10,
17e,Modified Basic Finner,1.76,4.10,50,4,-12,
17e,Modified Basic Finner,1.76,4.10,55,4,-15,
17e,Modified Basic Finner,1.76,4.10,60,5,-20,
17e,Modified Basic Finner,1.76,4.10,65,5,-25,
17e,Modified Basic Finner,1.76,4.10,70,5,-28,
17e,Modified Basic Finner,1.76,4.10,75,6,-28,
17e,Modified Basic Finner,1.76,4.10,80,6,-30,
17e,Modified Basic Finner,1.76,4.10,85,7,-32,
17e,Modified Basic Finner,1.76,4.10,90,7,-35,

# --- Figure 17f: Modified Basic Finner, M=2.00 ---
# Two Reynolds numbers shown: Re_d=2.6e5 and 4.1e5
17f,Modified Basic Finner,2.00,2.60,-5,0,1,
17f,Modified Basic Finner,2.00,2.60,0,0,0,
17f,Modified Basic Finner,2.00,2.60,5,0,-2,
17f,Modified Basic Finner,2.00,2.60,10,1,-5,
17f,Modified Basic Finner,2.00,2.60,15,2,-8,
17f,Modified Basic Finner,2.00,2.60,20,3,-10,
17f,Modified Basic Finner,2.00,2.60,25,3,-12,
17f,Modified Basic Finner,2.00,2.60,30,4,-15,
17f,Modified Basic Finner,2.00,2.60,35,4,-18,
17f,Modified Basic Finner,2.00,2.60,40,5,-20,
17f,Modified Basic Finner,2.00,2.60,45,5,-22,
17f,Modified Basic Finner,2.00,2.60,50,5,-22,
17f,Modified Basic Finner,2.00,2.60,55,5,-25,
17f,Modified Basic Finner,2.00,2.60,60,5,-25,
17f,Modified Basic Finner,2.00,2.60,65,5,-28,
17f,Modified Basic Finner,2.00,2.60,70,5,-30,
17f,Modified Basic Finner,2.00,2.60,75,6,-32,
17f,Modified Basic Finner,2.00,2.60,80,6,-33,
17f,Modified Basic Finner,2.00,2.60,85,6,-35,
17f,Modified Basic Finner,2.00,2.60,90,6,-38,

# --- Figure 17g: Modified Basic Finner, M=2.25, Re_d=4.1e5 ---
17g,Modified Basic Finner,2.25,4.10,-5,0,1,
17g,Modified Basic Finner,2.25,4.10,0,0,0,
17g,Modified Basic Finner,2.25,4.10,5,0,-2,
17g,Modified Basic Finner,2.25,4.10,10,1,-4,
17g,Modified Basic Finner,2.25,4.10,15,2,-6,
17g,Modified Basic Finner,2.25,4.10,20,3,-8,
17g,Modified Basic Finner,2.25,4.10,25,3,-10,
17g,Modified Basic Finner,2.25,4.10,30,4,-12,
17g,Modified Basic Finner,2.25,4.10,35,5,-15,
17g,Modified Basic Finner,2.25,4.10,40,5,-18,
17g,Modified Basic Finner,2.25,4.10,45,5,-20,
17g,Modified Basic Finner,2.25,4.10,50,5,-22,
17g,Modified Basic Finner,2.25,4.10,55,5,-22,
17g,Modified Basic Finner,2.25,4.10,60,5,-25,
17g,Modified Basic Finner,2.25,4.10,65,5,-25,
17g,Modified Basic Finner,2.25,4.10,70,5,-25,
17g,Modified Basic Finner,2.25,4.10,75,5,-28,
17g,Modified Basic Finner,2.25,4.10,80,5,-28,
17g,Modified Basic Finner,2.25,4.10,85,5,-30,
17g,Modified Basic Finner,2.25,4.10,90,5,-30,

# ============================================================================
# TABLE 3: Magnus-Force Raw Data (CY and Cn vs pd/2Vinf) at specific alpha values
# From Figure 14 (Basic Finner) and Figure 16 (Modified Basic Finner)
# These show the slope (CYp, Cnp) directly as CY and Cn vary with spin parameter
# ============================================================================

# --- Figure 14a: Basic Finner, M=0.22, Re_d=1.05e5 ---
# CY vs pd/2Vinf at various alpha (x-axis range 0 to 0.08)
# At alpha=0: CY ~0, nearly flat
# At alpha=20: CY goes from 0 to ~-0.5 over pd/2V range 0 to 0.03
# At alpha=40: CY goes from 0 to ~-1.5 over pd/2V range 0 to 0.03
# At alpha=60: CY goes from -0.5 to ~-3.0 over pd/2V range 0 to 0.08
# At alpha=80: CY goes from ~-2.5 to ~-0.5 (nonlinear!)
# Cn vs pd/2Vinf:
# At alpha=0: Cn ~0, nearly flat
# At alpha=20: Cn goes from 0 to ~+2 over pd/2V range 0 to 0.03
# At alpha=40: Cn goes from +1 to ~+5 over pd/2V range 0 to 0.03
# At alpha=60: Cn goes from ~+2 to ~+4 over pd/2V range 0 to 0.08

# --- Figure 14b: Basic Finner, M=2.50, Re_d=1.86e5 ---
# CY vs pd/2Vinf at various alpha (x-axis range 0 to 0.05)
# MUCH smoother than M=0.22 case
# At alpha=0: CY ~0, flat
# At alpha=10: CY goes from 0 to ~+0.05 over pd/2V range 0 to 0.04
# At alpha=20: CY goes from 0 to ~+0.10 over pd/2V range 0 to 0.04
# At alpha=30: CY goes from 0 to ~+0.18 over pd/2V range 0 to 0.04
# At alpha=40: CY goes from 0 to ~+0.35 over pd/2V range 0 to 0.04
# At alpha=50: CY goes from 0 to ~+0.30 over pd/2V range 0 to 0.04
# At alpha=60: CY goes from 0 to ~+0.25 over pd/2V range 0 to 0.04
# Cn vs pd/2Vinf:
# At alpha=0: Cn ~0, flat
# At alpha=10: Cn goes from 0 to ~-0.05 over pd/2V range 0 to 0.04
# At alpha=20: Cn goes from 0 to ~-0.20 over pd/2V range 0 to 0.04
# At alpha=30: Cn goes from 0 to ~-0.45 over pd/2V range 0 to 0.04
# At alpha=40: Cn goes from 0 to ~-0.80 over pd/2V range 0 to 0.04
# At alpha=60: Cn goes from 0 to ~-0.60 over pd/2V range 0 to 0.04
# At alpha=80: Cn goes from 0 to ~-0.15 over pd/2V range 0 to 0.04
# At alpha=90: Cn goes from 0 to ~-0.05 over pd/2V range 0 to 0.04

# ============================================================================
# TABLE 4: Summary of small-angle CYp at each Mach for ORP calibration
# Extracted at alpha=5 deg from Figures 15 and 17
# This is the most relevant data for the ORP body Magnus fraction constant
# ============================================================================
# model,Mach,alpha_deg,CYp,Cnp,data_quality
#
# Basic Finner (cone-cylinder + 4 rectangular fins):
# M=0.22: CYp ~ -2, Cnp ~ -5     (erratic, low confidence)
# M=2.50: CYp ~ +1, Cnp ~ -2     (smooth, high confidence)
#
# Modified Basic Finner (ogive-cylinder + 4 trapezoidal fins):
# M=0.90: CYp ~ -1, Cnp ~ -2     (erratic)
# M=1.15: CYp ~  0, Cnp ~ -3     (moderate)
# M=1.30: CYp ~  0, Cnp ~ -2     (moderate)
# M=1.50: CYp ~  0, Cnp ~ -2     (good)
# M=1.76: CYp ~  0, Cnp ~ -2     (good)
# M=2.00: CYp ~  0, Cnp ~ -2     (good)
# M=2.25: CYp ~  0, Cnp ~ -2     (good)
#
# KEY OBSERVATIONS FOR ORP BODY MAGNUS FRACTION:
# 1. At small AoA (0-5 deg), CYp is very small (~0 to -2) for the complete
#    finned missile. This is the regime ORP operates in (typical AoA < 5 deg).
# 2. The CYp derivative CYp = -(2/3)*CNa_body from slender body theory is
#    consistent with these small magnitudes if the body CNa contribution is
#    itself small at low AoA.
# 3. Magnus effects become dominant only above alpha > 10-15 deg, where
#    CYp can reach magnitudes of 5-25 (at M=2.5, peak at alpha~40 deg).
# 4. The subsonic (M=0.22) Magnus data is extremely erratic and dominated by
#    unsteady vortex effects - the linear derivative concept breaks down.
# 5. At supersonic speeds (M >= 1.5), the data is smooth and well-behaved.
# 6. The 0.3 body fraction in ORP (line 142 of BarrowmanStabilityCalculator)
#    produces CYp = -(2/3)*0.3*CNa_total = -0.2*CNa_total.
#    For a Basic Finner at M=2.5 with CNa_total ~ 10/rad:
#      CYp_ORP = -0.2 * 10 = -2.0
#    The measured value at alpha=5 is CYp ~ +1 (positive, opposite sign!).
#    However, the sign convention may differ - the report uses a right-hand
#    rule where positive CY is in the direction that opposes the induced
#    sideslip from spinning. The absolute magnitude |CYp| ~ 1-2 at small
#    alpha is comparable to the ORP estimate of ~2, suggesting the 0.3 body
#    fraction is in the right ballpark for magnitude, though the report
#    measures the TOTAL vehicle Magnus, not the body contribution alone.
# 7. The ratio CYp/CNa cannot be extracted from this data because they did
#    not test body-alone configurations. The fins contribute to Magnus force
#    through differential lift on the advancing vs retreating fin panels.
