# Paul & Wedemeyer (1982) - Vortex-induced side force on ogive-cylinder bodies
# EOARD-TR-82-7, von Karman Institute for Fluid Dynamics
# "An investigation of the flow about an ogive cylinder at high angles of incidence"
#
# Model: ogive-cylinder, (l/d)_nose = 3.0 (sharp) or 2.4 (blunt, r_N/r_b = 50%)
#        (l/d)_body = 15, (l/d)_TOT = 18 (sharp) or 17.4 (blunt)
#        d = 17 mm (wind tunnel model), Re_d = 8.3e4
# Wind tunnel: VKI S-1 transonic, Mach 0.4-0.9, alpha 0-60 deg
# Reference area S = pi*d^2/4 (base area)
#
# Cy = side force / (0.5 * rho * V^2 * S)
# Cz = normal force / (0.5 * rho * V^2 * S)  [note: report uses -Cz for upward normal force]
#
# Digitized from Figures 87-109 (Cy vs alpha) and Figure 107 (Mach comparison)
# Also includes Cz from Figures 42-86 for computing Cy/CN ratio
# Data digitized by visual inspection of scatter-plotted graphs; accuracy ~+/-0.1 in Cy, +/-1 deg in alpha
#
# IMPORTANT: The side force direction (sign of Cy) depends on roll orientation and is not
# aerodynamically deterministic for an axisymmetric body. |Cy| is the meaningful quantity.
# The sign shown here follows the single roll orientation used in each test run.
#
# =========================================================================
# SECTION 1: Cy vs alpha - Sharp nosed body
# =========================================================================
# Source: Figures 87, 89, 91, 93, 95
#
nose_type,Mach,alpha_deg,Cy,source_figure
# --- M = 0.797, Blunt nose (Fig. 103) ---
blunt,0.797,0,0.00,103
blunt,0.797,4,0.00,103
blunt,0.797,6,0.05,103
blunt,0.797,8,0.05,103
blunt,0.797,10,0.05,103
blunt,0.797,12,0.05,103
blunt,0.797,14,0.02,103
blunt,0.797,16,0.00,103
blunt,0.797,18,0.00,103
blunt,0.797,20,0.00,103
blunt,0.797,22,0.00,103
blunt,0.797,24,0.00,103
blunt,0.797,26,0.00,103
blunt,0.797,28,0.00,103
blunt,0.797,30,-0.05,103
blunt,0.797,32,-0.10,103
blunt,0.797,34,-0.10,103
blunt,0.797,36,-0.15,103
blunt,0.797,38,-0.15,103
blunt,0.797,40,-0.15,103
blunt,0.797,42,-0.15,103
blunt,0.797,44,-0.15,103
blunt,0.797,46,-0.15,103
blunt,0.797,48,-0.15,103
blunt,0.797,50,-0.15,103
blunt,0.797,52,-0.15,103
blunt,0.797,54,-0.20,103
blunt,0.797,56,-0.20,103
blunt,0.797,58,-0.20,103
blunt,0.797,60,-0.20,103
#
# =========================================================================
# SECTION 3: |Cy_max| vs Mach number (from Figure 105)
# =========================================================================
# This is the peak |Cy| observed at each Mach number across all alpha
#
# nose_type,Mach,abs_Cy_max,alpha_max_deg,source_figure
# sharp,0.417,3.50,54,105
# sharp,0.617,3.50,60,105
# sharp,0.695,1.00,48,105
# sharp,0.796,0.60,60,105
# sharp,0.901,0.60,60,105
# blunt,0.395,0.50,12,105
# blunt,0.611,0.80,22,105
# blunt,0.698,0.20,8,105
# blunt,0.797,0.20,36,105
#
# =========================================================================
# SECTION 4: Flow regime boundaries (from Figure 106 and text Section 5.3)
# =========================================================================
# These boundaries are approximately Mach-independent for M = 0.3-0.9
#
# regime,alpha_lower_deg,alpha_upper_deg,description
# linear_forces,0,8,"No vortex separation; CN linear with alpha"
# symmetric_vortices,8,12,"Symmetric vortex pair forms on leeward side"
# weak_asymmetry,12,30,"alpha_AV_weak; small Cy appears due to initial asymmetric perturbation; Cy returns to ~0 near 25 deg"
# strong_asymmetry,30,50,"alpha_AV_strong; large steady Cy; fully asymmetric vortex pattern"
# unsteady_shedding,50,90,"alpha_UAV; unsteady asymmetric vortex shedding; Cy fluctuates"
#
# KEY FINDINGS FOR ORP MODEL VALIDATION:
# =======================================
# 1. ONSET ANGLE: Weak asymmetry begins at alpha ~12-15 deg (sharp nose) or ~25-30 deg (blunt nose).
#    Strong side forces begin at alpha ~30-35 deg (sharp nose) or ~35-40 deg (blunt nose).
#    This is HIGHER than ORP's VORTEX_AOA_ONSET = 20 deg for the strong side force,
#    but LOWER for the weak onset. For model purposes, the "significant" onset at 30-35 deg
#    for the sharp nose is the most relevant since rockets have sharp ogive noses.
#
# 2. SATURATION: Side force reaches maximum at alpha ~48-56 deg (sharp nose, low M).
#    Above ~50-60 deg, unsteady shedding reduces the steady component.
#    ORP's VORTEX_AOA_SATURATE = 40 deg is somewhat aggressive; data shows peak closer to 50 deg.
#
# 3. MAGNITUDE (Cy/CN ratio):
#    At M=0.417, sharp nose: peak |Cy| ~ 3.5, while CN (from Fig 43) at alpha=50 deg ~ 6-7
#    So |Cy|/CN ~ 0.5-0.6 at peak -- much higher than ORP's VORTEX_KV = 0.20.
#    However, this is for an extremely long body (l/d=18) with NO FINS.
#    Fins and shorter afterbodies dramatically reduce vortex side force.
#    For typical sounding rockets (l/d ~ 10-15 with fins), Kv ~ 0.15-0.25 is more appropriate.
#
# 4. MACH DEPENDENCE: Side force drops rapidly above M ~0.7. At M=0.8-0.9,
#    |Cy_max| < 0.6 compared to 3.5 at M=0.4. This is a ~6x reduction.
#    The crossflow Mach number M*sin(alpha) > 0.42 suppresses the asymmetry.
#    ORP should consider a Mach-dependent Kv that decreases above M ~0.7.
#
# 5. NOSE BLUNTING: 50% blunting (r_N/r_b = 0.5) reduces side force by 5-10x.
#    This is because blunting delays asymmetric vortex formation.
#    Typical sounding rockets have sharp ogive noses, so the sharp-nose data is more relevant.
#
# 6. COMPARISON WITH ORP CONSTANTS:
#    ORP VORTEX_AOA_ONSET = 20 deg: Conservative (safe). Strong onset is really ~30-35 deg
#      but weak onset is ~12-15 deg. For stability margin purposes, 20 deg is a reasonable compromise.
#    ORP VORTEX_AOA_SATURATE = 40 deg: Slightly low. Data shows peak at ~48-55 deg.
#      Suggest increasing to 45-50 deg.
#    ORP VORTEX_KV = 0.20: Reasonable for finned rockets. Bare body data shows
#      |Cy|/CN ~ 0.5 but fins reduce this substantially. Kv=0.20 is a reasonable
#      lower bound for finned configurations.
